Time/Iteration, TempCalcIterTime(ns), ColorCalcIterTime(ns), TempCalcIterBest(ns), ColorCalcIterBest(ns), TempCalcIterWorst(ns), ColorCalcIterWorst(ns), TempCalcIterAvg(ns), ColorCalcIterAvg(ns)
1,450500,14443200,450500,14443200,450500,14443200,225250.0,7221600.0
2,321600,12176500,321600,12176500,450500,14443200,273425.0,9699050.0
3,326200,11971000,321600,11971000,450500,14443200,299812.5,10835025.0
4,341000,12063400,321600,11971000,450500,14443200,320406.25,11449212.5
5,333000,12142500,321600,11971000,450500,14443200,326703.125,11795856.25
6,311300,12907400,311300,11971000,450500,14443200,319001.5625,12351628.125
7,284300,13176700,284300,11971000,450500,14443200,301650.78125,12764164.0625
8,302200,12291300,284300,11971000,450500,14443200,301925.390625,12527732.03125
9,291100,12201200,284300,11971000,450500,14443200,296512.6953125,12364466.015625
10,294600,12036200,284300,11971000,450500,14443200,295556.34765625,12200333.0078125
11,307500,11916900,284300,11916900,450500,14443200,301528.173828125,12058616.50390625
12,295400,11794500,284300,11794500,450500,14443200,298464.0869140625,11926558.251953125
13,291100,11783000,284300,11783000,450500,14443200,294782.04345703125,11854779.125976562
14,300700,11810600,284300,11783000,450500,14443200,297741.0217285156,11832689.562988281
15,293800,11711800,284300,11711800,450500,14443200,295770.5108642578,11772244.78149414
16,330400,11965600,284300,11711800,450500,14443200,313085.2554321289,11868922.39074707
17,292800,11607700,284300,11607700,450500,14443200,302942.62771606445,11738311.195373535
18,295900,11967200,284300,11607700,450500,14443200,299421.3138580322,11852755.597686768
19,333400,11838800,284300,11607700,450500,14443200,316410.6569290161,11845777.798843384
20,307800,12079200,284300,11607700,450500,14443200,312105.32846450806,11962488.899421692
21,297600,12048400,284300,11607700,450500,14443200,304852.664232254,12005444.449710846
22,290200,12421400,284300,11607700,450500,14443200,297526.332116127,12213422.224855423
23,274100,11737900,274100,11607700,450500,14443200,285813.1660580635,11975661.112427711
24,285300,11810200,274100,11607700,450500,14443200,285556.58302903175,11892930.556213856
25,279400,11683100,274100,11607700,450500,14443200,282478.2915145159,11788015.278106928
26,270900,11836000,270900,11607700,450500,14443200,276689.14575725794,11812007.639053464
27,278900,11725700,270900,11607700,450500,14443200,277794.57287862897,11768853.819526732
28,281300,11703700,270900,11607700,450500,14443200,279547.2864393145,11736276.909763366
29,267500,11734700,267500,11607700,450500,14443200,273523.64321965724,11735488.454881683
30,281800,12004000,267500,11607700,450500,14443200,277661.8216098286,11869744.227440841
31,303100,11597900,267500,11597900,450500,14443200,290380.9108049143,11733822.11372042
32,281700,11732100,267500,11597900,450500,14443200,286040.45540245716,11732961.05686021
33,289900,12041500,267500,11597900,450500,14443200,287970.2277012286,11887230.528430104
34,291800,12010500,267500,11597900,450500,14443200,289885.1138506143,11948865.264215052
35,320600,11911100,267500,11597900,450500,14443200,305242.55692530714,11929982.632107526
36,342000,12040800,267500,11597900,450500,14443200,323621.2784626536,11985391.316053763
37,341900,12009200,267500,11597900,450500,14443200,332760.63923132676,11997295.658026882
38,321200,12066300,267500,11597900,450500,14443200,326980.3196156634,12031797.82901344
39,311200,11957100,267500,11597900,450500,14443200,319090.1598078317,11994448.91450672
40,293400,11743800,267500,11597900,450500,14443200,306245.0799039159,11869124.45725336
41,268800,11606900,267500,11597900,450500,14443200,287522.53995195794,11738012.22862668
42,302000,12019000,267500,11597900,450500,14443200,294761.269975979,11878506.11431334
43,315300,11680800,267500,11597900,450500,14443200,305030.6349879895,11779653.05715667
44,323600,12095200,267500,11597900,450500,14443200,314315.3174939947,11937426.528578335
45,287800,12062700,267500,11597900,450500,14443200,301057.65874699736,12000063.264289167
46,297000,12244700,267500,11597900,450500,14443200,299028.8293734987,12122381.632144583
47,286900,11773000,267500,11597900,450500,14443200,292964.41468674934,11947690.816072293
48,286700,12061800,267500,11597900,450500,14443200,289832.20734337467,12004745.408036146
49,316200,11720200,267500,11597900,450500,14443200,303016.1036716873,11862472.704018073
50,291300,11713500,267500,11597900,450500,14443200,297158.05183584365,11787986.352009036
51,280500,11592800,267500,11592800,450500,14443200,288829.0259179218,11690393.176004518
52,299500,11737600,267500,11592800,450500,14443200,294164.5129589609,11713996.588002259
53,319100,11378200,267500,11378200,450500,14443200,306632.2564794804,11546098.294001129
54,294100,11940000,267500,11378200,450500,14443200,300366.1282397402,11743049.147000564
55,277200,12211000,267500,11378200,450500,14443200,288783.0641198701,11977024.573500283
56,287300,11917300,267500,11378200,450500,14443200,288041.53205993504,11947162.286750142
57,283700,11826900,267500,11378200,450500,14443200,285870.7660299675,11887031.14337507
58,311300,11716300,267500,11378200,450500,14443200,298585.38301498373,11801665.571687534
59,299500,11671400,267500,11378200,450500,14443200,299042.69150749187,11736532.785843767
60,348400,11473700,267500,11378200,450500,14443200,323721.34575374593,11605116.392921884
61,350300,11572800,267500,11378200,450500,14443200,337010.67287687294,11588958.196460942
62,313100,12004800,267500,11378200,450500,14443200,325055.33643843647,11796879.09823047
63,291000,12377800,267500,11378200,450500,14443200,308027.66821921826,12087339.549115235
64,313500,11838400,267500,11378200,450500,14443200,310763.83410960913,11962869.774557617
65,282900,11856100,267500,11378200,450500,14443200,296831.91705480457,11909484.887278808
66,283800,11952000,267500,11378200,450500,14443200,290315.95852740225,11930742.443639405
67,289400,11831100,267500,11378200,450500,14443200,289857.9792637011,11880921.221819703
