Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,442.0,12185.1,442.0,12185.1,442.0,12185.1,221.0,6092.55
2,329.6,12120.5,329.6,12120.5,442.0,12185.1,275.3,9106.525
3,280.0,12177.3,280.0,12120.5,442.0,12185.1,277.65,10641.912499999999
4,283.7,12573.4,280.0,12120.5,442.0,12573.4,280.67499999999995,11607.65625
5,289.3,12591.2,280.0,12120.5,442.0,12591.2,284.98749999999995,12099.428125
6,459.0,12549.7,280.0,12120.5,459.0,12591.2,371.99375,12324.564062500001
7,299.6,13544.1,280.0,12120.5,459.0,13544.1,335.796875,12934.33203125
8,298.1,13033.2,280.0,12120.5,459.0,13544.1,316.9484375,12983.766015625
9,357.7,12448.0,280.0,12120.5,459.0,13544.1,337.32421875,12715.8830078125
10,294.7,12485.6,280.0,12120.5,459.0,13544.1,316.012109375,12600.74150390625
11,365.5,13512.2,280.0,12120.5,459.0,13544.1,340.7560546875,13056.470751953126
12,297.6,12519.0,280.0,12120.5,459.0,13544.1,319.17802734375005,12787.735375976563
13,290.0,12564.3,280.0,12120.5,459.0,13544.1,304.589013671875,12676.017687988282
14,276.2,12449.6,276.2,12120.5,459.0,13544.1,290.3945068359375,12562.808843994142
15,342.3,12159.9,276.2,12120.5,459.0,13544.1,316.3472534179688,12361.354421997072
16,293.8,12269.0,276.2,12120.5,459.0,13544.1,305.0736267089844,12315.177210998536
17,287.8,13873.6,276.2,12120.5,459.0,13873.6,296.4368133544922,13094.388605499269
18,295.4,12543.7,276.2,12120.5,459.0,13873.6,295.9184066772461,12819.044302749635
19,291.5,12522.2,276.2,12120.5,459.0,13873.6,293.70920333862307,12670.622151374817
20,396.1,12534.8,276.2,12120.5,459.0,13873.6,344.90460166931155,12602.711075687408
21,470.8,13061.2,276.2,12120.5,470.8,13873.6,407.8523008346558,12831.955537843703
22,291.1,12585.1,276.2,12120.5,470.8,13873.6,349.4761504173279,12708.527768921853
23,312.4,13661.8,276.2,12120.5,470.8,13873.6,330.9380752086639,13185.163884460926
24,295.5,12552.0,276.2,12120.5,470.8,13873.6,313.21903760433196,12868.581942230463
25,295.8,12179.7,276.2,12120.5,470.8,13873.6,304.509518802166,12524.140971115232
26,596.6,12480.9,276.2,12120.5,596.6,13873.6,450.554759401083,12502.520485557616
27,290.0,12329.8,276.2,12120.5,596.6,13873.6,370.2773797005415,12416.160242778808
28,283.3,12497.6,276.2,12120.5,596.6,13873.6,326.78868985027077,12456.880121389404
29,304.4,12506.7,276.2,12120.5,596.6,13873.6,315.5943449251354,12481.790060694702
30,530.9,12632.4,276.2,12120.5,596.6,13873.6,423.2471724625677,12557.095030347351
31,314.4,14114.3,276.2,12120.5,596.6,14114.3,368.8235862312838,13335.697515173675
32,303.2,12554.6,276.2,12120.5,596.6,14114.3,336.0117931156419,12945.148757586838
33,297.7,13440.4,276.2,12120.5,596.6,14114.3,316.855896557821,13192.77437879342
34,279.8,12423.7,276.2,12120.5,596.6,14114.3,298.3279482789105,12808.23718939671
35,298.7,12392.7,276.2,12120.5,596.6,14114.3,298.5139741394553,12600.468594698355
36,308.1,12513.3,276.2,12120.5,596.6,14114.3,303.30698706972765,12556.884297349177
37,293.2,12672.0,276.2,12120.5,596.6,14114.3,298.2534935348638,12614.442148674589
38,299.2,12512.2,276.2,12120.5,596.6,14114.3,298.7267467674319,12563.321074337295
39,293.0,13423.7,276.2,12120.5,596.6,14114.3,295.86337338371595,12993.510537168648
40,313.1,12409.4,276.2,12120.5,596.6,14114.3,304.481686691858,12701.455268584323
41,313.8,12594.9,276.2,12120.5,596.6,14114.3,309.140843345929,12648.177634292162
42,295.4,14235.6,276.2,12120.5,596.6,14235.6,302.2704216729645,13441.888817146082
43,294.0,14113.4,276.2,12120.5,596.6,14235.6,298.13521083648226,13777.64440857304
44,416.8,14423.2,276.2,12120.5,596.6,14423.2,357.46760541824113,14100.42220428652
45,326.4,13230.1,276.2,12120.5,596.6,14423.2,341.9338027091205,13665.26110214326
46,290.6,13046.6,276.2,12120.5,596.6,14423.2,316.2669013545603,13355.93055107163
47,322.4,12668.6,276.2,12120.5,596.6,14423.2,319.3334506772801,13012.265275535814
48,344.7,12650.4,276.2,12120.5,596.6,14423.2,332.0167253386401,12831.332637767908
49,305.6,12609.6,276.2,12120.5,596.6,14423.2,318.80836266932005,12720.466318883955
50,289.4,13276.8,276.2,12120.5,596.6,14423.2,304.10418133466,12998.633159441977
51,292.8,12925.5,276.2,12120.5,596.6,14423.2,298.45209066733,12962.066579720988
52,297.8,12556.4,276.2,12120.5,596.6,14423.2,298.12604533366505,12759.233289860495
53,317.2,13094.9,276.2,12120.5,596.6,14423.2,307.6630226668325,12927.066644930248
54,302.9,12418.3,276.2,12120.5,596.6,14423.2,305.28151133341623,12672.683322465124
55,279.0,12505.5,276.2,12120.5,596.6,14423.2,292.1407556667081,12589.091661232562
56,290.6,12477.9,276.2,12120.5,596.6,14423.2,291.37037783335404,12533.49583061628
57,298.5,12290.1,276.2,12120.5,596.6,14423.2,294.935188916677,12411.79791530814
58,263.8,12428.8,263.8,12120.5,596.6,14423.2,279.36759445833854,12420.29895765407
59,294.4,12322.5,263.8,12120.5,596.6,14423.2,286.88379722916926,12371.399478827036
60,300.9,12341.6,263.8,12120.5,596.6,14423.2,293.89189861458465,12356.499739413517
61,286.3,12623.4,263.8,12120.5,596.6,14423.2,290.09594930729236,12489.949869706757
62,460.0,12572.8,263.8,12120.5,596.6,14423.2,375.0479746536462,12531.374934853378
63,276.4,12598.7,263.8,12120.5,596.6,14423.2,325.7239873268231,12565.03746742669
64,301.7,12905.0,263.8,12120.5,596.6,14423.2,313.71199366341153,12735.018733713345
65,310.8,12377.1,263.8,12120.5,596.6,14423.2,312.2559968317058,12556.059366856673
66,320.4,12332.4,263.8,12120.5,596.6,14423.2,316.3279984158529,12444.229683428337
67,362.9,13509.3,263.8,12120.5,596.6,14423.2,339.61399920792644,12976.764841714168
68,308.7,14509.5,263.8,12120.5,596.6,14509.5,324.1569996039632,13743.132420857084
69,313.7,14211.6,263.8,12120.5,596.6,14509.5,318.9284998019816,13977.366210428543
70,318.4,13023.8,263.8,12120.5,596.6,14509.5,318.6642499009908,13500.583105214271
71,305.0,13700.1,263.8,12120.5,596.6,14509.5,311.8321249504954,13600.341552607137
